Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
DenseNet121,0.01,AdamW,0.001,TRUE,0,17,0.648,0.645,0.642,295.94
DenseNet121,0.005,AdamW,0,TRUE,0.5,14,0.648,0.645,0.638,230.47
DenseNet121,0.01,AdamW,0.001,TRUE,0.5,14,0.651,0.646,0.636,243.23
DenseNet121,0.05,AdamW,1.00E-05,FALSE,0,10,0.641,0.732,0.634,168.68
DenseNet121,0.01,AdamW,0,TRUE,0.5,14,0.651,0.646,0.634,266.82
DenseNet121,0.005,AdamW,0.0001,TRUE,0,11,0.655,0.649,0.634,182.10
DenseNet121,0.1,AdamW,0,FALSE,0.5,10,0.645,0.654,0.630,169.18
DenseNet121,0.1,SGD,0.0001,FALSE,0.5,8,0.645,0.649,0.630,136.18
DenseNet121,0.05,AdamW,0.0001,TRUE,0,8,0.656,0.650,0.629,138.54
DenseNet121,0.01,AdamW,0.0001,TRUE,0,11,0.656,0.653,0.623,182.04
DenseNet121,0.05,SGD,0,FALSE,0.5,12,0.651,0.658,0.623,194.97
DenseNet121,0.01,AdamW,1.00E-05,TRUE,0.5,9,0.655,0.656,0.620,162.09
DenseNet121,0.01,AdamW,1.00E-05,TRUE,0,23,0.657,0.655,0.620,371.24
DenseNet121,0.05,SGD,0.001,FALSE,0,16,0.648,0.655,0.619,249.08
DenseNet121,0.05,SGD,1.00E-05,FALSE,0,10,0.645,0.656,0.618,159.77
DenseNet121,0.05,AdamW,1.00E-05,TRUE,0,7,0.659,0.661,0.615,123.14
DenseNet121,0.1,AdamW,0.001,FALSE,0.5,10,4.412,1.719,0.612,167.16
DenseNet121,0.05,SGD,1.00E-05,FALSE,0.5,11,0.647,0.660,0.611,181.47
DenseNet121,0.1,AdamW,0.0001,TRUE,0,13,0.660,0.656,0.610,213.41
DenseNet121,0.05,SGD,0.0001,TRUE,0,19,0.662,2.122,0.608,298.44
DenseNet121,0.05,SGD,0.0001,FALSE,0,8,0.653,1.290,0.606,132.03
