Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
DenseNet121,0.01,AdamW,0.0001,FALSE,0.5,9,0.147,0.148,0.733,208.48
DenseNet121,0.01,AdamW,0,FALSE,0,19,0.147,0.148,0.733,222.48
DenseNet121,0.005,AdamW,1.00E-05,TRUE,0.5,10,0.152,0.148,0.733,230.47
DenseNet121,0.01,AdamW,0.0001,TRUE,0.5,13,0.153,0.148,0.732,150.47
DeiT,0.1,SGD,0.0001,TRUE,0,0,0.156,0.152,0.731,87.71
DenseNet121,0.005,AdamW,1.00E-05,TRUE,0,16,0.153,0.149,0.730,431.98
DenseNet121,0.05,AdamW,1.00E-05,FALSE,0.5,16,0.148,0.149,0.730,352.18
DenseNet121,0.005,AdamW,0,TRUE,0.5,10,0.153,0.149,0.729,243.22
DenseNet121,0.01,AdamW,0,TRUE,0,12,0.153,0.149,0.727,276.69
DenseNet121,0.05,AdamW,0,FALSE,0.5,12,0.149,0.149,0.726,269.15
DenseNet121,0.01,AdamW,0.0001,TRUE,0,20,0.154,0.149,0.726,458.39
DenseNet121,0.01,AdamW,1.00E-05,FALSE,0,11,0.149,0.149,0.725,128.04
DenseNet121,0.05,AdamW,0.0001,FALSE,0,13,0.148,0.149,0.725,156.88
DenseNet121,0.005,AdamW,0.0001,TRUE,0,10,0.154,0.150,0.724,278.24
DenseNet121,0.005,AdamW,0.0001,FALSE,0,10,0.148,0.149,0.724,236.31
DenseNet121,0.1,AdamW,0,FALSE,0,16,0.148,0.149,0.724,354.33
DenseNet121,0.01,AdamW,1.00E-05,TRUE,0.5,11,0.154,0.150,0.723,131.45
DenseNet121,0.05,AdamW,1.00E-05,FALSE,0,15,0.149,0.149,0.723,226.44
DenseNet121,0.01,AdamW,0.001,TRUE,0,8,0.154,0.150,0.722,187.40
DenseNet121,0.005,AdamW,0.0001,TRUE,0.5,7,0.155,0.150,0.720,170.01
DenseNet121,0.005,AdamW,0.001,TRUE,0.5,16,0.155,0.151,0.718,184.89
DenseNet121,0.01,AdamW,0.001,TRUE,0.5,11,0.154,0.150,0.718,129.90
DeiT,0.01,SGD,0.001,FALSE,0,0,0.150,0.160,0.717,41.30
DenseNet121,0.1,SGD,1.00E-05,TRUE,0,12,0.154,0.153,0.717,452.57
DenseNet121,0.05,AdamW,0,FALSE,0,15,0.150,0.150,0.717,459.48
DenseNet121,0.05,AdamW,1.00E-05,TRUE,0.5,16,0.154,0.151,0.716,355.59
DenseNet121,0.1,AdamW,0.001,FALSE,0,14,0.151,0.150,0.715,327.29
DenseNet121,0.05,AdamW,0.001,FALSE,0.5,10,0.150,0.151,0.715,280.99
DenseNet121,0.05,AdamW,0.001,FALSE,0,21,0.150,0.151,0.715,418.61
DenseNet121,0.05,AdamW,0,TRUE,0,16,0.154,0.151,0.714,383.32
DenseNet121,0.1,AdamW,0.0001,FALSE,0.5,8,0.151,0.151,0.712,188.06
DenseNet121,0.01,AdamW,1.00E-05,TRUE,0,17,0.155,0.152,0.711,381.96
DenseNet121,0.05,AdamW,0.0001,FALSE,0.5,16,0.150,0.151,0.711,351.60
DenseNet121,0.01,AdamW,0,TRUE,0.5,13,0.155,0.152,0.710,162.50
DenseNet121,0.05,SGD,0.001,FALSE,0,0,0.153,0.155,0.710,20.40
DenseNet121,0.05,AdamW,0.001,TRUE,0,12,0.155,0.152,0.708,316.62
DenseNet121,0.1,AdamW,0.001,FALSE,0.5,16,0.151,0.152,0.704,429.84
DenseNet121,0.1,AdamW,0,TRUE,0,11,0.156,0.152,0.703,284.21
DeiT,0.01,SGD,0.001,TRUE,0,0,0.156,0.159,0.703,84.81
